order_id,order_datetime,order_date,customer_id,restaurant_id,area_id,order_value,discount,payment_method,order_status,promotion
O0000027,2024-01-01 13:00:00,2024-01-01,C11590,R02,A02,204.0,15,Card,Completed,True
O0000028,2024-01-01 19:00:00,2024-01-01,C15709,R02,A02,280.0,0,UPI,Completed,False
O0000029,2024-01-01 12:00:00,2024-01-01,C17044,R02,A02,260.0,0,UPI,Completed,False
O0000030,2024-01-01 18:00:00,2024-01-01,C02812,R02,A02,280.0,0,Cash,Completed,False
O0000031,2024-01-01 14:00:00,2024-01-01,C14244,R02,A02,500.0,0,Wallet,Completed,False
O0000032,2024-01-01 12:00:00,2024-01-01,C06547,R02,A02,790.0,0,Card,Completed,False
O0000033,2024-01-01 21:00:00,2024-01-01,C01987,R02,A02,460.0,0,UPI,Completed,False
O0000034,2024-01-01 19:00:00,2024-01-01,C08339,R02,A02,240.0,0,UPI,Completed,False
O0000035,2024-01-01 21:00:00,2024-01-01,C11412,R02,A02,190.0,0,Card,Completed,False
O0000036,2024-01-01 20:00:00,2024-01-01,C02912,R02,A02,162.0,10,Cash,Completed,True
O0000037,2024-01-01 14:00:00,2024-01-01,C01735,R02,A02,390.0,0,Cash,Completed,False
O0000038,2024-01-01 20:00:00,2024-01-01,C08681,R02,A02,324.0,10,Card,Completed,True
O0000039,2024-01-01 13:00:00,2024-01-01,C05760,R02,A02,110.0,0,Card,Completed,False
O0000040,2024-01-01 21:00:00,2024-01-01,C02386,R02,A02,390.0,0,UPI,Completed,False
O0000041,2024-01-01 13:00:00,2024-01-01,C11112,R02,A02,420.0,0,UPI,Completed,False
O0000042,2024-01-01 11:00:00,2024-01-01,C04737,R02,A02,380.0,0,Cash,Completed,False
O0000043,2024-01-01 20:00:00,2024-01-01,C01803,R02,A02,880.0,0,Card,Completed,False
O0000044,2024-01-01 19:00:00,2024-01-01,C08156,R02,A02,460.0,0,UPI,Completed,False
O0000045,2024-01-01 21:00:00,2024-01-01,C08121,R02,A02,960.0,0,UPI,Completed,False
O0000046,2024-01-01 18:00:00,2024-01-01,C06617,R02,A02,670.0,0,Card,Completed,False
O0000047,2024-01-01 14:00:00,2024-01-01,C14258,R02,A02,560.0,0,UPI,Completed,False
O0000048,2024-01-01 18:00:00,2024-01-01,C00700,R03,A03,220.0,0,Wallet,Completed,False
O0000049,2024-01-01 19:00:00,2024-01-01,C00191,R03,A03,650.0,0,UPI,Completed,False
O0000050,2024-01-01 18:00:00,2024-01-01,C10493,R03,A03,190.0,0,Card,Completed,False
O0000051,2024-01-01 19:00:00,2024-01-01,C17365,R03,A03,340.0,0,Cash,Completed,False
O0000052,2024-01-01 13:00:00,2024-01-01,C02976,R03,A03,340.0,0,Card,Completed,False
O0000053,2024-01-01 14:00:00,2024-01-01,C06103,R03,A03,300.0,0,Card,Completed,False
O0000054,2024-01-01 11:00:00,2024-01-01,C17569,R03,A03,1120.0,0,Card,Completed,False
O0000055,2024-01-01 18:00:00,2024-01-01,C01817,R03,A03,390.0,0,UPI,Completed,False
O0000056,2024-01-01 21:00:00,2024-01-01,C00570,R03,A03,850.0,0,UPI,Completed,False
O0000057,2024-01-01 18:00:00,2024-01-01,C05443,R03,A03,560.0,0,Cash,Completed,False
O0000058,2024-01-01 11:00:00,2024-01-01,C01896,R03,A03,280.0,0,Cash,Completed,False
O0000059,2024-01-01 19:00:00,2024-01-01,C03864,R03,A03,180.5,5,Cash,Completed,True
O0000060,2024-01-01 18:00:00,2024-01-01,C12914,R03,A03,240.0,0,Wallet,Completed,False
O0000061,2024-01-01 20:00:00,2024-01-01,C07456,R03,A03,750.0,0,Card,Completed,False
O0000062,2024-01-01 13:00:00,2024-01-01,C04015,R03,A03,150.0,0,Card,Completed,False
O0000063,2024-01-01 19:00:00,2024-01-01,C03507,R04,A04,460.0,0,UPI,Completed,False
O0000064,2024-01-01 19:00:00,2024-01-01,C13285,R04,A04,680.0,0,UPI,Completed,False
O0000065,2024-01-01 21:00:00,2024-01-01,C07254,R04,A04,620.0,0,Card,Completed,False
O0000066,2024-01-01 11:00:00,2024-01-01,C09436,R04,A04,360.0,0,UPI,Completed,False
O0000067,2024-01-01 21:00:00,2024-01-01,C11311,R04,A04,120.0,0,Card,Completed,False
O0000068,2024-01-01 18:00:00,2024-01-01,C13297,R04,A04,221.0,15,Wallet,Completed,True
O0000069,2024-01-01 18:00:00,2024-01-01,C13246,R04,A04,440.0,0,Card,Completed,False
O0000070,2024-01-01 11:00:00,2024-01-01,C11152,R04,A04,198.0,10,UPI,Completed,True
O0000071,2024-01-01 21:00:00,2024-01-01,C10458,R04,A04,440.0,0,Card,Completed,False
O0000072,2024-01-01 18:00:00,2024-01-01,C02480,R04,A04,220.0,0,UPI,Completed,False
O0000073,2024-01-01 20:00:00,2024-01-01,C04453,R04,A04,680.0,0,Card,Completed,False
O0000074,2024-01-01 21:00:00,2024-01-01,C05882,R04,A04,360.0,0,Wallet,Completed,False
O0000075,2024-01-01 20:00:00,2024-01-01,C14070,R04,A04,494.0,5,UPI,Completed,True
O0000076,2024-01-01 18:00:00,2024-01-01,C02850,R04,A04,228.0,5,Wallet,Completed,True
O0000077,2024-01-01 19:00:00,2024-01-01,C07391,R04,A04,220.0,0,Wallet,Completed,False
O0000078,2024-01-01 18:00:00,2024-01-01,C11923,R04,A04,1530.0,0,UPI,Completed,False
O0000079,2024-01-01 20:00:00,2024-01-01,C02490,R04,A04,216.0,10,UPI,Completed,True
O0000080,2024-01-01 13:00:00,2024-01-01,C09824,R04,A04,540.0,0,UPI,Completed,False
O0000081,2024-01-01 14:00:00,2024-01-01,C09208,R04,A04,850.0,0,UPI,Completed,False
O0000082,2024-01-01 12:00:00,2024-01-01,C09541,R04,A04,230.0,0,UPI,Completed,False
O0000083,2024-01-01 21:00:00,2024-01-01,C16365,R04,A04,460.0,0,Card,Completed,False
O0000084,2024-01-01 11:00:00,2024-01-01,C02144,R05,A05,240.0,0,UPI,Completed,False
O0000085,2024-01-01 13:00:00,2024-01-01,C07358,R05,A05,663.0,15,UPI,Completed,True
O0000086,2024-01-01 21:00:00,2024-01-01,C12044,R05,A05,160.0,0,Card,Completed,False
O0000087,2024-01-01 14:00:00,2024-01-01,C03441,R05,A05,880.0,0,Card,Completed,False
O0000088,2024-01-01 12:00:00,2024-01-01,C05645,R05,A05,399.0,5,UPI,Completed,True
O0000089,2024-01-01 11:00:00,2024-01-01,C10519,R05,A05,120.0,0,UPI,Completed,False
O0000090,2024-01-01 20:00:00,2024-01-01,C14553,R05,A05,120.0,0,UPI,Completed,False
O0000091,2024-01-01 14:00:00,2024-01-01,C13117,R06,A06,190.0,0,Cash,Completed,False
O0000092,2024-01-01 20:00:00,2024-01-01,C09577,R06,A06,380.0,0,Card,Completed,False
O0000093,2024-01-01 13:00:00,2024-01-01,C10151,R06,A06,360.0,0,Wallet,Completed,False
O0000094,2024-01-01 18:00:00,2024-01-01,C06531,R06,A06,110.0,0,UPI,Completed,False
O0000095,2024-01-01 14:00:00,2024-01-01,C10189,R06,A06,153.0,15,Card,Completed,True
O0000096,2024-01-01 19:00:00,2024-01-01,C14684,R06,A06,936.0,10,Wallet,Completed,True
O0000097,2024-01-01 20:00:00,2024-01-01,C00505,R06,A06,110.0,0,Card,Completed,False
O0000098,2024-01-01 13:00:00,2024-01-01,C01215,R06,A06,360.0,0,Card,Completed,False
O0000099,2024-01-01 12:00:00,2024-01-01,C01532,R06,A06,220.0,0,Card,Completed,False
O0000100,2024-01-01 12:00:00,2024-01-01,C00824,R06,A06,760.0,0,UPI,Completed,False
O0000101,2024-01-01 13:00:00,2024-01-01,C17313,R06,A06,910.0,0,Card,Completed,False
O0000102,2024-01-01 20:00:00,2024-01-01,C05030,R06,A06,636.5,5,Card,Completed,True
O0000103,2024-01-01 19:00:00,2024-01-01,C13429,R06,A06,680.0,0,Wallet,Completed,False
O0000104,2024-01-01 13:00:00,2024-01-01,C16518,R06,A06,900.0,0,UPI,Completed,False
O0000105,2024-01-01 18:00:00,2024-01-01,C02106,R06,A06,410.0,0,UPI,Completed,False
O0000106,2024-01-01 18:00:00,2024-01-01,C03628,R06,A06,589.0,5,Wallet,Completed,True
O0000107,2024-01-01 12:00:00,2024-01-01,C12973,R06,A06,480.0,0,Cash,Completed,False
O0000108,2024-01-01 14:00:00,2024-01-01,C01853,R06,A06,190.0,0,UPI,Completed,False
O0000109,2024-01-01 19:00:00,2024-01-01,C04911,R06,A06,480.0,0,Card,Completed,False
O0000110,2024-01-01 13:00:00,2024-01-01,C03637,R07,A07,650.0,0,UPI,Completed,False
O0000111,2024-01-01 20:00:00,2024-01-01,C10917,R07,A07,680.0,0,Card,Completed,False
O0000112,2024-01-01 11:00:00,2024-01-01,C04810,R07,A07,110.0,0,UPI,Completed,False
O0000113,2024-01-01 18:00:00,2024-01-01,C13457,R07,A07,187.0,15,Cash,Completed,True
O0000114,2024-01-01 21:00:00,2024-01-01,C15445,R07,A07,460.0,0,UPI,Completed,False
O0000115,2024-01-01 20:00:00,2024-01-01,C05998,R07,A07,390.0,0,Cash,Completed,False
O0000116,2024-01-01 19:00:00,2024-01-01,C02049,R07,A07,540.0,0,Wallet,Completed,False
O0000117,2024-01-01 14:00:00,2024-01-01,C12339,R07,A07,1500.0,0,UPI,Completed,False
O0000118,2024-01-01 11:00:00,2024-01-01,C17101,R07,A07,800.0,0,Cash,Completed,False
O0000119,2024-01-01 18:00:00,2024-01-01,C04545,R07,A07,380.0,0,Card,Completed,False
O0000120,2024-01-01 20:00:00,2024-01-01,C04977,R07,A07,840.0,0,Card,Completed,False
O0000121,2024-01-01 18:00:00,2024-01-01,C12776,R07,A07,234.0,10,UPI,Completed,True
O0000122,2024-01-01 19:00:00,2024-01-01,C10016,R07,A07,850.0,0,Cash,Completed,False
O0000123,2024-01-01 13:00:00,2024-01-01,C03420,R07,A07,340.0,0,Card,Completed,False
O0000124,2024-01-01 18:00:00,2024-01-01,C14431,R07,A07,260.0,0,Cash,Completed,False
O0000125,2024-01-01 20:00:00,2024-01-01,C07240,R07,A07,260.0,0,Wallet,Completed,False
O0000126,2024-01-01 12:00:00,2024-01-01,C14125,R08,A08,260.0,0,Card,Completed,False
O0000127,2024-01-01 14:00:00,2024-01-01,C16283,R08,A08,414.0,10,Card,Completed,True
O0000128,2024-01-01 12:00:00,2024-01-01,C10489,R08,A08,160.0,0,UPI,Completed,False
O0000129,2024-01-01 18:00:00,2024-01-01,C05241,R08,A08,480.0,0,UPI,Completed,False
O0000130,2024-01-01 19:00:00,2024-01-01,C10454,R08,A08,210.0,0,UPI,Completed,False
O0000131,2024-01-01 18:00:00,2024-01-01,C10479,R08,A08,780.0,0,Card,Completed,False
O0000132,2024-01-01 19:00:00,2024-01-01,C12395,R08,A08,1000.0,0,Cash,Completed,False
O0000133,2024-01-01 11:00:00,2024-01-01,C04433,R08,A08,240.0,0,Card,Completed,False
O0000134,2024-01-01 18:00:00,2024-01-01,C13569,R08,A08,180.0,0,UPI,Completed,False
O0000135,2024-01-01 11:00:00,2024-01-01,C14179,R08,A08,320.0,0,Cash,Completed,False
O0000136,2024-01-01 14:00:00,2024-01-01,C17661,R08,A08,260.0,0,UPI,Completed,False
O0000137,2024-01-01 12:00:00,2024-01-01,C00303,R08,A08,940.0,0,UPI,Completed,False
O0000138,2024-01-01 19:00:00,2024-01-01,C17023,R08,A08,260.0,0,UPI,Completed,False
O0000139,2024-01-01 12:00:00,2024-01-01,C00056,R08,A08,520.0,20,Card,Completed,True
O0000140,2024-01-01 11:00:00,2024-01-01,C13014,R08,A08,135.0,10,UPI,Completed,True
O0000141,2024-01-01 19:00:00,2024-01-01,C08718,R08,A08,380.0,0,Card,Completed,False
O0000142,2024-01-01 12:00:00,2024-01-01,C08151,R08,A08,210.0,0,Cash,Completed,False
O0000143,2024-01-02 13:00:00,2024-01-02,C08838,R01,A01,830.0,0,Card,Completed,False
O0000144,2024-01-02 13:00:00,2024-01-02,C00118,R01,A01,460.0,0,Card,Completed,False
O0000145,2024-01-02 20:00:00,2024-01-02,C13918,R01,A01,390.0,0,Card,Completed,False
O0000146,2024-01-02 21:00:00,2024-01-02,C14310,R01,A01,220.0,0,Card,Completed,False
O0000147,2024-01-02 18:00:00,2024-01-02,C13235,R01,A01,360.0,0,UPI,Completed,False
O0000148,2024-01-02 14:00:00,2024-01-02,C05561,R01,A01,440.0,0,Card,Completed,False
O0000149,2024-01-02 21:00:00,2024-01-02,C00847,R01,A01,260.0,0,Wallet,Completed,False
O0000150,2024-01-02 20:00:00,2024-01-02,C10955,R01,A01,230.0,0,UPI,Completed,False
O0000151,2024-01-02 19:00:00,2024-01-02,C13704,R01,A01,1200.0,0,Card,Completed,False
O0000152,2024-01-02 12:00:00,2024-01-02,C15386,R01,A01,340.0,0,UPI,Completed,False
O0000153,2024-01-02 14:00:00,2024-01-02,C13747,R01,A01,210.0,0,UPI,Completed,False
O0000154,2024-01-02 14:00:00,2024-01-02,C06470,R01,A01,520.0,0,Card,Completed,False
O0000155,2024-01-02 13:00:00,2024-01-02,C09334,R01,A01,230.0,0,Card,Completed,False
O0000156,2024-01-02 14:00:00,2024-01-02,C16609,R01,A01,690.0,0,UPI,Completed,False
O0000157,2024-01-02 11:00:00,2024-01-02,C03229,R02,A02,288.0,10,Card,Completed,True
O0000158,2024-01-02 11:00:00,2024-01-02,C14383,R02,A02,1134.0,10,UPI,Completed,True
O0000159,2024-01-02 18:00:00,2024-01-02,C02892,R02,A02,738.0,10,Cash,Completed,True
O0000160,2024-01-02 18:00:00,2024-01-02,C03757,R02,A02,510.0,0,Wallet,Completed,False
O0000161,2024-01-02 13:00:00,2024-01-02,C15771,R02,A02,420.0,0,Card,Completed,False
O0000162,2024-01-02 20:00:00,2024-01-02,C16479,R02,A02,930.0,0,Card,Completed,False
O0000163,2024-01-02 11:00:00,2024-01-02,C02675,R02,A02,234.0,10,Wallet,Completed,True
O0000164,2024-01-02 19:00:00,2024-01-02,C06899,R02,A02,720.0,0,Card,Completed,False
O0000165,2024-01-02 14:00:00,2024-01-02,C10148,R02,A02,220.0,0,UPI,Completed,False
O0000166,2024-01-02 19:00:00,2024-01-02,C00794,R02,A02,190.0,0,Card,Completed,False
O0000167,2024-01-02 12:00:00,2024-01-02,C02117,R02,A02,1110.0,0,Card,Completed,False
O0000168,2024-01-02 12:00:00,2024-01-02,C05780,R02,A02,620.0,0,UPI,Completed,False
O0000169,2024-01-02 18:00:00,2024-01-02,C12299,R02,A02,720.0,0,Card,Completed,False
O0000170,2024-01-02 13:00:00,2024-01-02,C14154,R02,A02,700.0,0,Wallet,Completed,False
O0000171,2024-01-02 12:00:00,2024-01-02,C11112,R02,A02,150.0,0,Wallet,Completed,False
O0000172,2024-01-02 11:00:00,2024-01-02,C10790,R02,A02,480.0,0,UPI,Completed,False
O0000173,2024-01-02 19:00:00,2024-01-02,C11398,R02,A02,162.0,10,UPI,Completed,True
O0000174,2024-01-02 19:00:00,2024-01-02,C13000,R02,A02,1040.0,0,Wallet,Completed,False
O0000175,2024-01-02 18:00:00,2024-01-02,C00815,R02,A02,240.0,0,Cash,Completed,False
O0000176,2024-01-02 20:00:00,2024-01-02,C16730,R02,A02,280.0,0,UPI,Completed,False
O0000177,2024-01-02 20:00:00,2024-01-02,C10542,R02,A02,540.0,0,Wallet,Completed,False
O0000178,2024-01-02 14:00:00,2024-01-02,C02444,R02,A02,700.0,0,Cash,Completed,False
O0000179,2024-01-02 18:00:00,2024-01-02,C10458,R02,A02,660.0,0,Card,Completed,False
O0000180,2024-01-02 21:00:00,2024-01-02,C10381,R02,A02,460.0,0,Card,Completed,False
O0000181,2024-01-02 14:00:00,2024-01-02,C07784,R02,A02,680.0,0,UPI,Completed,False
O0000182,2024-01-02 21:00:00,2024-01-02,C11474,R02,A02,480.0,0,UPI,Completed,False
O0000183,2024-01-02 19:00:00,2024-01-02,C12343,R03,A03,351.0,10,Card,Completed,True
O0000184,2024-01-02 21:00:00,2024-01-02,C08039,R03,A03,460.0,0,UPI,Completed,False
O0000185,2024-01-02 21:00:00,2024-01-02,C16003,R03,A03,1160.0,0,Card,Completed,False
O0000186,2024-01-02 13:00:00,2024-01-02,C13088,R03,A03,490.0,0,Cash,Completed,False
O0000187,2024-01-02 12:00:00,2024-01-02,C04874,R03,A03,220.0,0,Card,Completed,False
O0000188,2024-01-02 11:00:00,2024-01-02,C01482,R03,A03,680.0,0,Card,Completed,False
O0000189,2024-01-02 19:00:00,2024-01-02,C10094,R03,A03,940.0,0,Cash,Completed,False
O0000190,2024-01-02 13:00:00,2024-01-02,C14423,R03,A03,240.0,0,Wallet,Completed,False
O0000191,2024-01-02 20:00:00,2024-01-02,C16439,R03,A03,1020.0,0,Card,Completed,False
O0000192,2024-01-02 12:00:00,2024-01-02,C07644,R03,A03,240.0,0,Cash,Completed,False
O0000193,2024-01-02 12:00:00,2024-01-02,C15709,R03,A03,260.0,0,Wallet,Completed,False
O0000194,2024-01-02 19:00:00,2024-01-02,C11272,R03,A03,437.0,5,Wallet,Completed,True
O0000195,2024-01-02 14:00:00,2024-01-02,C17217,R03,A03,178.5,15,UPI,Completed,True
O0000196,2024-01-02 11:00:00,2024-01-02,C12601,R03,A03,460.0,0,UPI,Completed,False
O0000197,2024-01-02 12:00:00,2024-01-02,C10999,R03,A03,440.0,0,UPI,Completed,False
O0000198,2024-01-02 19:00:00,2024-01-02,C14296,R03,A03,430.0,0,UPI,Completed,False
O0000199,2024-01-02 19:00:00,2024-01-02,C10683,R03,A03,220.0,0,Card,Completed,False
O0000200,2024-01-02 13:00:00,2024-01-02,C16381,R03,A03,190.0,0,Card,Completed,False
O0000201,2024-01-02 13:00:00,2024-01-02,C03068,R04,A04,500.0,0,UPI,Completed,False
O0000202,2024-01-02 11:00:00,2024-01-02,C05942,R04,A04,680.0,0,UPI,Completed,False
O0000203,2024-01-02 20:00:00,2024-01-02,C17771,R04,A04,640.0,0,UPI,Completed,False
O0000204,2024-01-02 19:00:00,2024-01-02,C11556,R04,A04,320.0,0,UPI,Completed,False
O0000205,2024-01-02 13:00:00,2024-01-02,C13082,R04,A04,680.0,0,Card,Completed,False
O0000206,2024-01-02 21:00:00,2024-01-02,C06820,R04,A04,360.0,0,Card,Completed,False
O0000207,2024-01-02 12:00:00,2024-01-02,C11047,R04,A04,320.0,0,UPI,Completed,False
O0000208,2024-01-02 14:00:00,2024-01-02,C17718,R04,A04,680.0,0,UPI,Completed,False
O0000209,2024-01-02 18:00:00,2024-01-02,C02712,R04,A04,342.0,5,UPI,Completed,True
O0000210,2024-01-02 11:00:00,2024-01-02,C04854,R04,A04,480.0,0,UPI,Completed,False
O0000211,2024-01-02 18:00:00,2024-01-02,C07716,R04,A04,390.0,0,Wallet,Completed,False
O0000212,2024-01-02 20:00:00,2024-01-02,C08943,R04,A04,280.0,0,UPI,Completed,False
O0000213,2024-01-02 12:00:00,2024-01-02,C15508,R04,A04,240.0,0,UPI,Completed,False
O0000214,2024-01-02 18:00:00,2024-01-02,C15827,R04,A04,840.0,0,UPI,Completed,False
O0000215,2024-01-02 11:00:00,2024-01-02,C01763,R04,A04,960.0,0,Cash,Completed,False
O0000216,2024-01-02 12:00:00,2024-01-02,C15851,R04,A04,570.0,0,Wallet,Completed,False
O0000217,2024-01-02 18:00:00,2024-01-02,C12113,R04,A04,260.0,0,Cash,Completed,False
O0000218,2024-01-02 14:00:00,2024-01-02,C12653,R04,A04,513.0,10,Card,Completed,True
O0000219,2024-01-02 19:00:00,2024-01-02,C06123,R04,A04,1580.0,0,Card,Completed,False
O0000220,2024-01-02 12:00:00,2024-01-02,C00482,R04,A04,220.0,0,UPI,Completed,False
O0000221,2024-01-02 19:00:00,2024-01-02,C14537,R04,A04,920.0,0,Wallet,Completed,False
O0000222,2024-01-02 21:00:00,2024-01-02,C00154,R04,A04,160.0,0,Card,Completed,False
O0000223,2024-01-02 13:00:00,2024-01-02,C15521,R05,A05,840.0,0,UPI,Completed,False
O0000224,2024-01-02 21:00:00,2024-01-02,C13738,R05,A05,730.0,0,UPI,Completed,False
O0000225,2024-01-02 12:00:00,2024-01-02,C09324,R05,A05,360.0,0,UPI,Completed,False
O0000226,2024-01-02 20:00:00,2024-01-02,C15230,R05,A05,750.0,0,UPI,Completed,False
O0000227,2024-01-02 20:00:00,2024-01-02,C11714,R05,A05,360.0,0,Card,Completed,False
O0000228,2024-01-02 14:00:00,2024-01-02,C08503,R05,A05,390.0,0,UPI,Completed,False
O0000229,2024-01-02 20:00:00,2024-01-02,C00546,R05,A05,579.5,5,UPI,Completed,True
O0000230,2024-01-02 20:00:00,2024-01-02,C04347,R05,A05,320.0,0,UPI,Completed,False
O0000231,2024-01-02 21:00:00,2024-01-02,C09997,R05,A05,288.0,10,UPI,Completed,True
O0000232,2024-01-02 11:00:00,2024-01-02,C15776,R05,A05,260.0,0,Card,Completed,False
O0000233,2024-01-02 14:00:00,2024-01-02,C13920,R05,A05,1240.0,0,Card,Completed,False
O0000234,2024-01-02 18:00:00,2024-01-02,C03811,R05,A05,220.0,0,UPI,Completed,False
O0000235,2024-01-02 19:00:00,2024-01-02,C07207,R05,A05,810.0,0,UPI,Completed,False
O0000236,2024-01-02 11:00:00,2024-01-02,C09006,R05,A05,1040.0,0,UPI,Completed,False
O0000237,2024-01-02 18:00:00,2024-01-02,C16372,R05,A05,195.5,15,Cash,Completed,True
O0000238,2024-01-02 13:00:00,2024-01-02,C01934,R06,A06,1040.0,0,UPI,Completed,False
O0000239,2024-01-02 12:00:00,2024-01-02,C17765,R06,A06,320.0,0,Card,Completed,False
O0000240,2024-01-02 12:00:00,2024-01-02,C11874,R06,A06,247.0,5,Wallet,Completed,True
O0000241,2024-01-02 19:00:00,2024-01-02,C17675,R06,A06,382.5,15,UPI,Completed,True
O0000242,2024-01-02 11:00:00,2024-01-02,C13240,R06,A06,460.0,0,Cash,Completed,False
O0000243,2024-01-02 21:00:00,2024-01-02,C10875,R06,A06,323.0,5,Wallet,Completed,True
O0000244,2024-01-02 13:00:00,2024-01-02,C17603,R06,A06,240.0,0,UPI,Completed,False
O0000245,2024-01-02 21:00:00,2024-01-02,C05017,R06,A06,160.0,0,Cash,Completed,False
O0000246,2024-01-02 13:00:00,2024-01-02,C13775,R06,A06,800.0,0,Card,Completed,False
O0000247,2024-01-02 19:00:00,2024-01-02,C09753,R06,A06,220.0,0,Wallet,Completed,False
O0000248,2024-01-02 18:00:00,2024-01-02,C17339,R06,A06,390.0,0,Card,Completed,False
O0000249,2024-01-02 21:00:00,2024-01-02,C15586,R06,A06,390.0,0,Card,Completed,False
O0000250,2024-01-02 18:00:00,2024-01-02,C07292,R06,A06,160.0,0,Card,Completed,False
O0000251,2024-01-02 20:00:00,2024-01-02,C00975,R06,A06,400.0,0,Cash,Completed,False
O0000252,2024-01-02 11:00:00,2024-01-02,C04134,R06,A06,640.0,0,Card,Completed,False
O0000253,2024-01-02 11:00:00,2024-01-02,C14664,R06,A06,440.0,0,Card,Completed,False
O0000254,2024-01-02 14:00:00,2024-01-02,C03973,R06,A06,648.0,10,Cash,Completed,True
O0000255,2024-01-02 11:00:00,2024-01-02,C17650,R07,A07,304.0,5,UPI,Completed,True
O0000256,2024-01-02 21:00:00,2024-01-02,C07492,R07,A07,480.0,0,Card,Completed,False
O0000257,2024-01-02 12:00:00,2024-01-02,C14528,R07,A07,670.0,0,Card,Completed,False
O0000258,2024-01-02 20:00:00,2024-01-02,C17425,R07,A07,960.0,0,Card,Completed,False
O0000259,2024-01-02 14:00:00,2024-01-02,C14860,R07,A07,247.0,5,UPI,Completed,True
O0000260,2024-01-02 14:00:00,2024-01-02,C08074,R07,A07,460.0,0,UPI,Completed,False
O0000261,2024-01-02 20:00:00,2024-01-02,C09078,R07,A07,320.0,0,Wallet,Completed,False
O0000262,2024-01-02 19:00:00,2024-01-02,C11384,R07,A07,750.0,0,UPI,Completed,False
O0000263,2024-01-02 18:00:00,2024-01-02,C16379,R07,A07,640.0,0,UPI,Completed,False
O0000264,2024-01-02 18:00:00,2024-01-02,C02354,R07,A07,110.0,0,UPI,Completed,False
O0000265,2024-01-02 19:00:00,2024-01-02,C04800,R07,A07,880.0,0,Cash,Completed,False
O0000266,2024-01-02 14:00:00,2024-01-02,C17071,R07,A07,195.5,15,Card,Completed,True
O0000267,2024-01-02 14:00:00,2024-01-02,C11940,R07,A07,460.0,0,UPI,Completed,False
O0000268,2024-01-02 21:00:00,2024-01-02,C02429,R07,A07,460.0,0,UPI,Completed,False
O0000269,2024-01-02 14:00:00,2024-01-02,C11297,R07,A07,360.0,0,Card,Completed,False
O0000270,2024-01-02 19:00:00,2024-01-02,C17774,R08,A08,460.0,0,Card,Completed,False
O0000271,2024-01-02 21:00:00,2024-01-02,C08358,R08,A08,684.0,5,Wallet,Completed,True
O0000272,2024-01-02 11:00:00,2024-01-02,C06155,R08,A08,280.0,0,UPI,Completed,False
O0000273,2024-01-02 14:00:00,2024-01-02,C08921,R08,A08,480.0,0,Card,Completed,False
