inventory_id,material_id,area_id,purchase_date,quantity_purchased,quantity_used,quantity_wasted,unit_cost,expiry_date
INV0000064,M02,A03,2025-04-25,37,19,2,280,2025-04-28
INV0000065,M02,A03,2024-12-23,35,18,2,280,2024-12-26
INV0000066,M02,A03,2025-09-26,76,53,2,280,2025-09-29
INV0000067,M02,A04,2026-07-11,25,22,0,280,2026-07-14
INV0000068,M02,A04,2025-08-26,41,31,2,280,2025-08-29
INV0000069,M02,A04,2024-06-25,43,30,2,280,2024-06-28
INV0000070,M02,A04,2025-01-07,74,39,5,280,2025-01-10
INV0000071,M02,A04,2024-06-21,50,39,4,280,2024-06-24
INV0000072,M02,A04,2025-11-15,54,31,3,280,2025-11-18
INV0000073,M02,A05,2024-12-24,11,10,0,280,2024-12-27
INV0000074,M02,A05,2026-04-25,67,54,2,280,2026-04-28
INV0000075,M02,A05,2025-06-02,62,31,6,280,2025-06-05
INV0000076,M02,A05,2024-11-24,61,47,2,280,2024-11-27
INV0000077,M02,A05,2024-01-21,40,36,0,280,2024-01-24
INV0000078,M02,A05,2026-02-04,48,25,5,280,2026-02-07
INV0000079,M02,A06,2026-06-09,45,33,1,280,2026-06-12
INV0000080,M02,A06,2024-08-04,94,71,1,280,2024-08-07
INV0000081,M02,A06,2026-07-24,48,35,2,280,2026-07-27
INV0000082,M02,A06,2024-03-20,53,33,4,280,2024-03-23
INV0000083,M02,A06,2025-10-24,50,31,8,280,2025-10-27
INV0000084,M02,A06,2024-03-20,89,77,1,280,2024-03-23
INV0000085,M02,A07,2025-01-10,42,33,1,280,2025-01-13
INV0000086,M02,A07,2024-05-12,27,16,4,280,2024-05-15
INV0000087,M02,A07,2026-02-08,24,14,3,280,2026-02-11
INV0000088,M02,A07,2025-11-26,67,43,7,280,2025-11-29
INV0000089,M02,A07,2024-01-16,31,27,0,280,2024-01-19
INV0000090,M02,A07,2025-01-04,30,27,1,280,2025-01-07
INV0000091,M02,A08,2026-07-04,42,38,1,280,2026-07-07
INV0000092,M02,A08,2025-08-19,142,119,4,280,2025-08-22
INV0000093,M02,A08,2024-03-25,57,33,3,280,2024-03-28
INV0000094,M02,A08,2025-11-25,42,36,1,280,2025-11-28
INV0000095,M02,A08,2024-08-24,30,16,2,280,2024-08-27
INV0000096,M02,A08,2026-04-21,56,50,1,280,2026-04-24
INV0000097,M03,A01,2025-09-14,40,34,1,110,2026-03-13
INV0000098,M03,A01,2026-05-19,43,21,7,110,2026-11-15
INV0000099,M03,A01,2025-01-11,29,16,4,110,2025-07-10
INV0000100,M03,A01,2026-05-30,44,33,1,110,2026-11-26
INV0000101,M03,A01,2025-12-15,26,15,0,110,2026-06-13
INV0000102,M03,A01,2026-03-22,29,24,0,110,2026-09-18
INV0000103,M03,A02,2025-06-12,68,31,5,110,2025-12-09
INV0000104,M03,A02,2024-03-10,65,52,2,110,2024-09-06
INV0000105,M03,A02,2025-08-22,81,68,1,110,2026-02-18
INV0000106,M03,A02,2025-01-15,20,9,4,110,2025-07-14
INV0000107,M03,A02,2025-12-22,29,13,4,110,2026-06-20
INV0000108,M03,A02,2025-12-15,56,28,12,110,2026-06-13
INV0000109,M03,A03,2024-05-18,31,18,4,110,2024-11-14
INV0000110,M03,A03,2026-03-07,41,33,2,110,2026-09-03
INV0000111,M03,A03,2026-04-28,29,25,1,110,2026-10-25
INV0000112,M03,A03,2026-01-22,72,45,10,110,2026-07-21
INV0000113,M03,A03,2024-02-16,36,22,4,110,2024-08-14
INV0000114,M03,A03,2025-12-31,36,25,1,110,2026-06-29
INV0000115,M03,A04,2026-07-28,49,35,1,110,2027-01-24
INV0000116,M03,A04,2025-10-30,65,29,13,110,2026-04-28
INV0000117,M03,A04,2025-10-22,64,48,0,110,2026-04-20
INV0000118,M03,A04,2025-07-28,64,48,3,110,2026-01-24
INV0000119,M03,A04,2026-01-14,66,39,3,110,2026-07-13
INV0000120,M03,A04,2025-06-27,43,22,4,110,2025-12-24
INV0000121,M03,A05,2025-03-07,18,9,2,110,2025-09-03
INV0000122,M03,A05,2026-01-24,29,13,4,110,2026-07-23
INV0000123,M03,A05,2024-04-19,84,49,1,110,2024-10-16
INV0000124,M03,A05,2026-05-13,47,28,8,110,2026-11-09
INV0000125,M03,A05,2025-04-25,19,14,1,110,2025-10-22
INV0000126,M03,A05,2025-05-09,39,28,4,110,2025-11-05
INV0000127,M03,A06,2026-03-09,10,7,0,110,2026-09-05
INV0000128,M03,A06,2024-06-30,47,35,3,110,2024-12-27
INV0000129,M03,A06,2025-02-12,36,16,6,110,2025-08-11
INV0000130,M03,A06,2025-07-31,38,26,1,110,2026-01-27
INV0000131,M03,A06,2024-03-23,23,15,3,110,2024-09-19
INV0000132,M03,A06,2024-12-10,38,23,1,110,2025-06-08
INV0000133,M03,A07,2025-02-09,31,26,1,110,2025-08-08
INV0000134,M03,A07,2024-01-05,97,46,21,110,2024-07-03
INV0000135,M03,A07,2024-03-24,63,49,4,110,2024-09-20
INV0000136,M03,A07,2025-10-07,65,60,1,110,2026-04-05
INV0000137,M03,A07,2024-05-11,60,42,3,110,2024-11-07
INV0000138,M03,A07,2026-02-27,50,41,2,110,2026-08-26
INV0000139,M03,A08,2025-04-14,50,45,2,110,2025-10-11
INV0000140,M03,A08,2026-01-20,67,36,7,110,2026-07-19
INV0000141,M03,A08,2024-12-01,38,24,6,110,2025-05-30
INV0000142,M03,A08,2025-05-30,58,40,4,110,2025-11-26
INV0000143,M03,A08,2026-03-14,57,50,2,110,2026-09-10
INV0000144,M03,A08,2026-06-12,45,37,1,110,2026-12-09
INV0000145,M04,A01,2025-12-06,56,34,8,52,2026-03-06
INV0000146,M04,A01,2024-06-17,70,36,7,52,2024-09-15
INV0000147,M04,A01,2024-08-18,96,77,2,52,2024-11-16
INV0000148,M04,A01,2026-03-19,78,62,6,52,2026-06-17
INV0000149,M04,A01,2025-07-23,44,32,3,52,2025-10-21
INV0000150,M04,A01,2025-11-10,38,32,1,52,2026-02-08
INV0000151,M04,A02,2024-06-05,47,34,4,52,2024-09-03
INV0000152,M04,A02,2026-02-19,41,28,1,52,2026-05-20
INV0000153,M04,A02,2026-07-29,52,32,6,52,2026-10-27
INV0000154,M04,A02,2024-05-31,64,48,1,52,2024-08-29
INV0000155,M04,A02,2025-09-14,44,38,1,52,2025-12-13
INV0000156,M04,A02,2024-05-28,35,22,0,52,2024-08-26
INV0000157,M04,A03,2026-05-22,30,27,0,52,2026-08-20
INV0000158,M04,A03,2024-12-01,21,17,1,52,2025-03-01
INV0000159,M04,A03,2025-06-04,43,34,1,52,2025-09-02
INV0000160,M04,A03,2026-06-28,76,52,8,52,2026-09-26
INV0000161,M04,A03,2025-08-23,73,42,5,52,2025-11-21
INV0000162,M04,A03,2024-06-27,22,13,2,52,2024-09-25
INV0000163,M04,A04,2024-01-23,16,10,0,52,2024-04-22
INV0000164,M04,A04,2025-02-08,45,38,1,52,2025-05-09
INV0000165,M04,A04,2025-11-24,57,49,0,52,2026-02-22
INV0000166,M04,A04,2025-08-02,40,20,1,52,2025-10-31
INV0000167,M04,A04,2024-05-22,45,40,0,52,2024-08-20
INV0000168,M04,A04,2025-09-23,64,37,11,52,2025-12-22
INV0000169,M04,A05,2025-06-07,23,18,0,52,2025-09-05
INV0000170,M04,A05,2024-03-04,16,14,0,52,2024-06-02
INV0000171,M04,A05,2024-10-18,58,46,3,52,2025-01-16
INV0000172,M04,A05,2025-11-14,66,64,0,52,2026-02-12
INV0000173,M04,A05,2024-12-06,19,15,0,52,2025-03-06
INV0000174,M04,A05,2024-03-02,59,44,1,52,2024-05-31
INV0000175,M04,A06,2024-12-06,46,41,0,52,2025-03-06
INV0000176,M04,A06,2025-01-13,38,21,2,52,2025-04-13
INV0000177,M04,A06,2025-02-13,46,29,2,52,2025-05-14
INV0000178,M04,A06,2024-10-16,40,21,2,52,2025-01-14
INV0000179,M04,A06,2025-05-21,53,38,1,52,2025-08-19
INV0000180,M04,A06,2024-10-25,45,41,0,52,2025-01-23
INV0000181,M04,A07,2026-02-02,19,9,1,52,2026-05-03
INV0000182,M04,A07,2024-12-30,99,82,7,52,2025-03-30
INV0000183,M04,A07,2024-04-18,47,30,6,52,2024-07-17
INV0000184,M04,A07,2024-03-05,44,20,7,52,2024-06-03
INV0000185,M04,A07,2025-01-18,23,20,0,52,2025-04-18
INV0000186,M04,A07,2025-08-13,43,19,2,52,2025-11-11
INV0000187,M04,A08,2025-03-16,37,30,2,52,2025-06-14
INV0000188,M04,A08,2024-06-21,42,19,10,52,2024-09-19
INV0000189,M04,A08,2026-07-16,94,87,1,52,2026-10-14
INV0000190,M04,A08,2025-11-28,35,17,7,52,2026-02-26
INV0000191,M04,A08,2026-07-04,80,76,0,52,2026-10-02
INV0000192,M04,A08,2026-06-23,63,59,0,52,2026-09-21
INV0000193,M05,A01,2025-12-17,51,45,2,48,2025-12-24
INV0000194,M05,A01,2024-10-24,34,23,3,48,2024-10-31
INV0000195,M05,A01,2026-04-22,39,37,0,48,2026-04-29
INV0000196,M05,A01,2024-11-11,43,38,1,48,2024-11-18
INV0000197,M05,A01,2024-08-17,12,7,0,48,2024-08-24
INV0000198,M05,A01,2024-03-08,22,14,2,48,2024-03-15
INV0000199,M05,A02,2026-06-17,62,37,6,48,2026-06-24
INV0000200,M05,A02,2024-06-27,25,16,2,48,2024-07-04
INV0000201,M05,A02,2026-01-15,57,50,1,48,2026-01-22
INV0000202,M05,A02,2025-07-17,46,24,7,48,2025-07-24
INV0000203,M05,A02,2026-06-27,145,83,13,48,2026-07-04
INV0000204,M05,A02,2025-09-02,46,30,3,48,2025-09-09
INV0000205,M05,A03,2024-11-09,56,29,5,48,2024-11-16
INV0000206,M05,A03,2025-10-23,33,16,6,48,2025-10-30
INV0000207,M05,A03,2026-07-13,62,35,5,48,2026-07-20
INV0000208,M05,A03,2025-01-09,88,76,0,48,2025-01-16
INV0000209,M05,A03,2025-12-05,65,37,9,48,2025-12-12
INV0000210,M05,A03,2024-01-26,75,39,15,48,2024-02-02
INV0000211,M05,A04,2025-03-05,19,8,3,48,2025-03-12
INV0000212,M05,A04,2024-01-24,34,29,1,48,2024-01-31
INV0000213,M05,A04,2026-04-05,40,28,3,48,2026-04-12
INV0000214,M05,A04,2025-07-16,37,21,6,48,2025-07-23
INV0000215,M05,A04,2026-03-30,55,34,7,48,2026-04-06
INV0000216,M05,A04,2025-08-22,32,29,0,48,2025-08-29
INV0000217,M05,A05,2025-03-17,39,28,4,48,2025-03-24
INV0000218,M05,A05,2026-01-20,92,41,16,48,2026-01-27
INV0000219,M05,A05,2025-12-29,59,47,2,48,2026-01-05
INV0000220,M05,A05,2025-06-06,15,8,2,48,2025-06-13
INV0000221,M05,A05,2026-07-13,44,30,1,48,2026-07-20
INV0000222,M05,A05,2024-04-24,67,41,8,48,2024-05-01
INV0000223,M05,A06,2024-02-21,35,16,6,48,2024-02-28
INV0000224,M05,A06,2025-08-25,93,71,6,48,2025-09-01
INV0000225,M05,A06,2024-07-05,80,73,0,48,2024-07-12
INV0000226,M05,A06,2026-06-28,72,54,1,48,2026-07-05
INV0000227,M05,A06,2026-02-18,16,7,2,48,2026-02-25
INV0000228,M05,A06,2025-04-12,46,24,3,48,2025-04-19
INV0000229,M05,A07,2025-11-21,57,43,2,48,2025-11-28
INV0000230,M05,A07,2025-05-10,34,19,2,48,2025-05-17
INV0000231,M05,A07,2024-08-29,29,21,3,48,2024-09-05
INV0000232,M05,A07,2026-03-10,57,44,2,48,2026-03-17
INV0000233,M05,A07,2026-02-04,29,26,0,48,2026-02-11
INV0000234,M05,A07,2025-03-04,49,35,4,48,2025-03-11
INV0000235,M05,A08,2024-05-13,33,15,6,48,2024-05-20
INV0000236,M05,A08,2026-04-27,21,9,2,48,2026-05-04
INV0000237,M05,A08,2025-11-09,37,23,4,48,2025-11-16
INV0000238,M05,A08,2025-10-02,53,39,3,48,2025-10-09
INV0000239,M05,A08,2025-11-11,40,33,2,48,2025-11-18
INV0000240,M05,A08,2025-12-17,10,8,0,48,2025-12-24
INV0000241,M06,A01,2026-05-27,35,25,2,36,2026-06-16
INV0000242,M06,A01,2026-03-01,21,14,2,36,2026-03-21
INV0000243,M06,A01,2025-05-05,16,14,0,36,2025-05-25
INV0000244,M06,A01,2025-12-12,35,21,4,36,2026-01-01
INV0000245,M06,A01,2026-05-14,72,53,6,36,2026-06-03
INV0000246,M06,A01,2026-02-23,64,46,3,36,2026-03-15
INV0000247,M06,A02,2025-03-04,45,27,2,36,2025-03-24
INV0000248,M06,A02,2025-12-11,73,52,5,36,2025-12-31
INV0000249,M06,A02,2025-04-27,35,23,5,36,2025-05-17
INV0000250,M06,A02,2024-11-25,67,48,5,36,2024-12-15
INV0000251,M06,A02,2025-12-20,55,40,1,36,2026-01-09
INV0000252,M06,A02,2025-04-22,40,18,4,36,2025-05-12
INV0000253,M06,A03,2024-03-13,35,27,1,36,2024-04-02
INV0000254,M06,A03,2024-10-12,26,13,2,36,2024-11-01
INV0000255,M06,A03,2025-02-05,24,20,1,36,2025-02-25
INV0000256,M06,A03,2025-11-27,69,47,7,36,2025-12-17
INV0000257,M06,A03,2025-01-29,34,29,1,36,2025-02-18
INV0000258,M06,A03,2024-07-29,33,29,1,36,2024-08-18
INV0000259,M06,A04,2024-05-03,29,20,2,36,2024-05-23
INV0000260,M06,A04,2025-09-23,74,64,0,36,2025-10-13
INV0000261,M06,A04,2025-12-02,49,26,3,36,2025-12-22
INV0000262,M06,A04,2026-02-14,80,69,4,36,2026-03-06
INV0000263,M06,A04,2024-05-18,37,29,1,36,2024-06-07
INV0000264,M06,A04,2025-03-10,59,52,1,36,2025-03-30
INV0000265,M06,A05,2024-05-02,50,22,9,36,2024-05-22
INV0000266,M06,A05,2024-06-06,38,31,2,36,2024-06-26
INV0000267,M06,A05,2025-12-04,53,44,1,36,2025-12-24
INV0000268,M06,A05,2024-04-26,62,30,1,36,2024-05-16
INV0000269,M06,A05,2026-06-28,81,62,5,36,2026-07-18
INV0000270,M06,A05,2024-05-23,51,23,10,36,2024-06-12
INV0000271,M06,A06,2026-05-16,29,22,1,36,2026-06-05
INV0000272,M06,A06,2024-04-06,44,20,9,36,2024-04-26
INV0000273,M06,A06,2024-12-14,27,23,1,36,2025-01-03
INV0000274,M06,A06,2026-04-25,68,49,4,36,2026-05-15
INV0000275,M06,A06,2024-11-06,63,33,4,36,2024-11-26
INV0000276,M06,A06,2024-08-24,10,5,0,36,2024-09-13
INV0000277,M06,A07,2024-05-04,78,75,0,36,2024-05-24
INV0000278,M06,A07,2026-06-30,41,22,1,36,2026-07-20
INV0000279,M06,A07,2024-04-25,41,34,2,36,2024-05-15
INV0000280,M06,A07,2025-07-27,25,23,0,36,2025-08-16
INV0000281,M06,A07,2026-03-26,33,27,2,36,2026-04-15
INV0000282,M06,A07,2025-08-19,26,20,0,36,2025-09-08
INV0000283,M06,A08,2025-06-03,67,30,5,36,2025-06-23
INV0000284,M06,A08,2026-04-01,36,28,2,36,2026-04-21
INV0000285,M06,A08,2024-04-26,11,6,2,36,2024-05-16
INV0000286,M06,A08,2024-03-01,64,39,6,36,2024-03-21
INV0000287,M06,A08,2024-05-01,81,48,7,36,2024-05-21
INV0000288,M06,A08,2024-04-09,35,19,4,36,2024-04-29
INV0000289,M07,A01,2026-01-11,59,43,1,210,2026-01-21
INV0000290,M07,A01,2026-06-02,84,60,1,210,2026-06-12
INV0000291,M07,A01,2026-06-07,57,46,1,210,2026-06-17
INV0000292,M07,A01,2025-03-02,42,24,3,210,2025-03-12
INV0000293,M07,A01,2024-03-31,20,11,3,210,2024-04-10
INV0000294,M07,A01,2025-11-21,40,23,4,210,2025-12-01
INV0000295,M07,A02,2025-09-19,70,36,12,210,2025-09-29
INV0000296,M07,A02,2025-01-04,69,44,9,210,2025-01-14
INV0000297,M07,A02,2026-02-19,40,27,1,210,2026-03-01
INV0000298,M07,A02,2024-06-23,57,46,4,210,2024-07-03
INV0000299,M07,A02,2025-09-25,72,70,0,210,2025-10-05
INV0000300,M07,A02,2024-03-25,72,70,0,210,2024-04-04
INV0000301,M07,A03,2024-11-21,68,38,7,210,2024-12-01
INV0000302,M07,A03,2025-03-08,100,64,10,210,2025-03-18
INV0000303,M07,A03,2026-04-06,22,11,3,210,2026-04-16
INV0000304,M07,A03,2025-11-19,55,25,5,210,2025-11-29
INV0000305,M07,A03,2026-07-17,30,21,3,210,2026-07-27
INV0000306,M07,A03,2026-01-14,46,42,0,210,2026-01-24
INV0000307,M07,A04,2026-02-26,78,57,5,210,2026-03-08
INV0000308,M07,A04,2024-03-10,69,50,2,210,2024-03-20
INV0000309,M07,A04,2026-06-12,7,3,1,210,2026-06-22
INV0000310,M07,A04,2024-07-01,85,45,9,210,2024-07-11
INV0000311,M07,A04,2024-07-22,51,42,2,210,2024-08-01
INV0000312,M07,A04,2024-04-29,17,13,0,210,2024-05-09
INV0000313,M07,A05,2025-10-06,50,48,0,210,2025-10-16
INV0000314,M07,A05,2025-03-07,113,82,7,210,2025-03-17
INV0000315,M07,A05,2025-11-11,37,33,0,210,2025-11-21
INV0000316,M07,A05,2025-03-28,30,26,0,210,2025-04-07
INV0000317,M07,A05,2025-09-23,58,47,3,210,2025-10-03
INV0000318,M07,A05,2025-08-27,24,11,0,210,2025-09-06
INV0000319,M07,A06,2026-01-10,61,54,1,210,2026-01-20
INV0000320,M07,A06,2024-08-16,38,22,4,210,2024-08-26
INV0000321,M07,A06,2025-02-24,43,20,3,210,2025-03-06
INV0000322,M07,A06,2025-01-01,59,43,3,210,2025-01-11
INV0000323,M07,A06,2025-04-24,69,57,1,210,2025-05-04
INV0000324,M07,A06,2025-01-23,46,24,6,210,2025-02-02
INV0000325,M07,A07,2026-07-01,29,21,2,210,2026-07-11
INV0000326,M07,A07,2025-07-12,61,55,2,210,2025-07-22
INV0000327,M07,A07,2024-12-18,22,17,1,210,2024-12-28
INV0000328,M07,A07,2025-08-11,54,41,4,210,2025-08-21
INV0000329,M07,A07,2026-03-25,37,31,1,210,2026-04-04
INV0000330,M07,A07,2024-08-27,31,28,0,210,2024-09-06
INV0000331,M07,A08,2024-06-27,41,25,1,210,2024-07-07
INV0000332,M07,A08,2024-04-16,32,29,0,210,2024-04-26
INV0000333,M07,A08,2025-03-30,54,40,5,210,2025-04-09
INV0000334,M07,A08,2026-07-28,56,41,2,210,2026-08-07
INV0000335,M07,A08,2026-02-12,25,12,4,210,2026-02-22
INV0000336,M07,A08,2025-07-16,54,38,3,210,2025-07-26
INV0000337,M08,A01,2024-09-04,24,21,0,420,2024-10-04
INV0000338,M08,A01,2025-12-08,86,82,1,420,2026-01-07
INV0000339,M08,A01,2025-10-02,52,26,2,420,2025-11-01
INV0000340,M08,A01,2026-01-17,82,46,12,420,2026-02-16
INV0000341,M08,A01,2026-04-06,39,26,5,420,2026-05-06
INV0000342,M08,A01,2024-04-30,75,49,5,420,2024-05-30
INV0000343,M08,A02,2025-07-21,28,22,2,420,2025-08-20
INV0000344,M08,A02,2025-08-24,33,19,2,420,2025-09-23
INV0000345,M08,A02,2024-02-13,30,21,2,420,2024-03-14
INV0000346,M08,A02,2026-02-28,49,35,1,420,2026-03-30
INV0000347,M08,A02,2025-10-14,75,46,4,420,2025-11-13
INV0000348,M08,A02,2025-03-28,46,39,1,420,2025-04-27
INV0000349,M08,A03,2024-07-22,46,33,2,420,2024-08-21
INV0000350,M08,A03,2024-11-01,38,36,0,420,2024-12-01
INV0000351,M08,A03,2024-04-13,39,36,0,420,2024-05-13
INV0000352,M08,A03,2024-06-20,118,59,14,420,2024-07-20
INV0000353,M08,A03,2026-04-02,72,49,8,420,2026-05-02
INV0000354,M08,A03,2025-01-07,75,54,7,420,2025-02-06
INV0000355,M08,A04,2025-07-11,85,42,4,420,2025-08-10
INV0000356,M08,A04,2026-07-28,119,110,1,420,2026-08-27
INV0000357,M08,A04,2025-04-06,89,83,2,420,2025-05-06
INV0000358,M08,A04,2025-07-29,95,61,9,420,2025-08-28
INV0000359,M08,A04,2026-05-13,89,72,3,420,2026-06-12
INV0000360,M08,A04,2025-09-21,19,13,1,420,2025-10-21
INV0000361,M08,A05,2025-09-23,44,27,6,420,2025-10-23
INV0000362,M08,A05,2025-05-01,22,16,1,420,2025-05-31
INV0000363,M08,A05,2025-09-01,20,16,0,420,2025-10-01
INV0000364,M08,A05,2025-11-11,18,12,2,420,2025-12-11
INV0000365,M08,A05,2026-05-11,69,40,10,420,2026-06-10
INV0000366,M08,A05,2024-03-13,54,39,4,420,2024-04-12
INV0000367,M08,A06,2024-09-22,55,27,9,420,2024-10-22
INV0000368,M08,A06,2026-03-25,25,14,2,420,2026-04-24
INV0000369,M08,A06,2024-03-22,41,24,2,420,2024-04-21
INV0000370,M08,A06,2025-10-15,23,11,1,420,2025-11-14
INV0000371,M08,A06,2026-04-27,33,21,1,420,2026-05-27
INV0000372,M08,A06,2025-11-07,45,43,0,420,2025-12-07
INV0000373,M08,A07,2024-01-07,33,19,6,420,2024-02-06
INV0000374,M08,A07,2024-04-27,40,36,0,420,2024-05-27
INV0000375,M08,A07,2026-02-09,41,19,2,420,2026-03-11
INV0000376,M08,A07,2026-07-10,41,30,0,420,2026-08-09
INV0000377,M08,A07,2024-07-05,59,52,0,420,2024-08-04
INV0000378,M08,A07,2024-05-22,61,59,0,420,2024-06-21
INV0000379,M08,A08,2026-02-23,39,34,2,420,2026-03-25
INV0000380,M08,A08,2026-04-14,77,56,5,420,2026-05-14
INV0000381,M08,A08,2025-02-27,44,39,0,420,2025-03-29
INV0000382,M08,A08,2025-05-15,18,11,0,420,2025-06-14
INV0000383,M08,A08,2025-04-28,65,56,3,420,2025-05-28
INV0000384,M08,A08,2025-08-30,100,80,4,420,2025-09-29
INV0000385,M09,A01,2025-12-02,24,17,1,34,2025-12-22
INV0000386,M09,A01,2025-07-06,48,24,4,34,2025-07-26
INV0000387,M09,A01,2025-06-15,40,31,2,34,2025-07-05
INV0000388,M09,A01,2024-06-20,38,21,2,34,2024-07-10
INV0000389,M09,A01,2025-04-15,30,17,5,34,2025-05-05
INV0000390,M09,A01,2026-02-09,5,4,0,34,2026-03-01
INV0000391,M09,A02,2025-12-09,38,24,6,34,2025-12-29
INV0000392,M09,A02,2026-04-04,13,10,0,34,2026-04-24
INV0000393,M09,A02,2026-07-16,51,25,10,34,2026-08-05
INV0000394,M09,A02,2025-06-29,52,36,3,34,2025-07-19
INV0000395,M09,A02,2026-07-28,51,40,1,34,2026-08-17
INV0000396,M09,A02,2025-01-09,48,40,1,34,2025-01-29
INV0000397,M09,A03,2026-07-02,55,47,1,34,2026-07-22
INV0000398,M09,A03,2024-12-28,80,55,6,34,2025-01-17
INV0000399,M09,A03,2026-03-30,51,47,0,34,2026-04-19
INV0000400,M09,A03,2024-02-28,40,27,1,34,2024-03-19
INV0000401,M09,A03,2024-10-09,33,29,0,34,2024-10-29
INV0000402,M09,A03,2024-12-26,31,19,1,34,2025-01-15
INV0000403,M09,A04,2025-02-04,69,32,12,34,2025-02-24
INV0000404,M09,A04,2025-09-19,26,12,1,34,2025-10-09
INV0000405,M09,A04,2025-07-20,47,29,6,34,2025-08-09
INV0000406,M09,A04,2024-09-13,28,23,0,34,2024-10-03
INV0000407,M09,A04,2025-02-16,39,24,2,34,2025-03-08
INV0000408,M09,A04,2025-06-18,84,50,2,34,2025-07-08
