order_item_id,order_id,dish_id,quantity,selling_price,discount,revenue,ingredient_cost,profit
I00000064,O0000041,D11,2,210.0,0,420.0,148,209.0
I00000065,O0000042,D15,1,160.0,0,160.0,42,94.0
I00000066,O0000042,D09,1,220.0,0,220.0,78,109.0
I00000067,O0000043,D03,1,240.0,0,240.0,96,108.0
I00000068,O0000043,D04,2,320.0,0,640.0,296,248.0
I00000069,O0000044,D06,1,460.0,0,460.0,186,205.0
I00000070,O0000045,D03,2,240.0,0,480.0,192,216.0
I00000071,O0000045,D03,2,240.0,0,480.0,192,216.0
I00000072,O0000046,D18,1,280.0,0,280.0,112,126.0
I00000073,O0000046,D05,1,390.0,0,390.0,148,183.5
I00000074,O0000047,D18,2,280.0,0,560.0,224,252.0
I00000075,O0000048,D17,1,220.0,0,220.0,82,108.96000000000001
I00000076,O0000049,D10,2,230.0,0,460.0,168,231.28
I00000077,O0000049,D07,1,190.0,0,190.0,62,102.92
I00000078,O0000050,D07,1,190.0,0,190.0,62,102.92
I00000079,O0000051,D02,1,340.0,0,340.0,156,139.12
I00000080,O0000052,D02,1,340.0,0,340.0,156,139.12
I00000081,O0000053,D07,1,190.0,0,190.0,62,102.92
I00000082,O0000053,D16,1,110.0,0,110.0,28,67.48
I00000083,O0000054,D17,2,220.0,0,440.0,164,217.92000000000002
I00000084,O0000054,D02,2,340.0,0,680.0,312,278.24
I00000085,O0000055,D10,1,230.0,0,230.0,84,115.64
I00000086,O0000055,D15,1,160.0,0,160.0,42,96.88
I00000087,O0000056,D11,1,210.0,0,210.0,74,108.28
I00000088,O0000056,D04,2,320.0,0,640.0,296,259.52
I00000089,O0000057,D18,2,280.0,0,560.0,224,262.08
I00000090,O0000058,D18,1,280.0,0,280.0,112,131.04
I00000091,O0000059,D07,1,190.0,5,180.5,62,93.42
I00000092,O0000060,D03,1,240.0,0,240.0,96,112.32
I00000093,O0000061,D04,2,320.0,0,640.0,296,259.52
I00000094,O0000061,D16,1,110.0,0,110.0,28,67.48
I00000095,O0000062,D14,1,150.0,0,150.0,46,84.2
I00000096,O0000063,D06,1,460.0,0,460.0,186,223.216
I00000097,O0000064,D08,2,180.0,0,360.0,116,204.256
I00000098,O0000064,D15,2,160.0,0,320.0,84,200.672
I00000099,O0000065,D06,1,460.0,0,460.0,186,223.216
I00000100,O0000065,D15,1,160.0,0,160.0,42,100.336
I00000101,O0000066,D12,1,360.0,0,360.0,165,155.256
I00000102,O0000067,D13,1,120.0,0,120.0,34,72.752
I00000103,O0000068,D01,1,260.0,15,221.0,92,100.29599999999999
I00000104,O0000069,D09,2,220.0,0,440.0,156,235.424
I00000105,O0000070,D17,1,220.0,10,198.0,82,91.712
I00000106,O0000071,D17,2,220.0,0,440.0,164,227.424
I00000107,O0000072,D17,1,220.0,0,220.0,82,113.712
I00000108,O0000073,D10,2,230.0,0,460.0,168,241.216
I00000109,O0000073,D17,1,220.0,0,220.0,82,113.712
I00000110,O0000074,D08,2,180.0,0,360.0,116,204.256
I00000111,O0000075,D01,2,260.0,5,494.0,184,252.59199999999998
I00000112,O0000076,D13,2,120.0,5,228.0,68,133.504
I00000113,O0000077,D09,1,220.0,0,220.0,78,117.712
I00000114,O0000078,D14,1,150.0,0,150.0,46,87.44
I00000115,O0000078,D06,3,460.0,0,1380.0,558,669.648
I00000116,O0000079,D13,2,120.0,10,216.0,68,121.504
I00000117,O0000080,D05,1,390.0,0,390.0,148,198.94400000000002
I00000118,O0000080,D14,1,150.0,0,150.0,46,87.44
I00000119,O0000081,D05,1,390.0,0,390.0,148,198.94400000000002
I00000120,O0000081,D10,2,230.0,0,460.0,168,241.216
I00000121,O0000082,D10,1,230.0,0,230.0,84,120.608
I00000122,O0000083,D03,1,240.0,0,240.0,96,117.504
I00000123,O0000083,D09,1,220.0,0,220.0,78,117.712
I00000124,O0000084,D13,2,120.0,0,240.0,68,149.536
I00000125,O0000085,D05,2,390.0,15,663.0,296,293.992
I00000126,O0000086,D15,1,160.0,0,160.0,42,103.024
I00000127,O0000087,D11,2,210.0,0,420.0,148,232.688
I00000128,O0000087,D10,2,230.0,0,460.0,168,248.94400000000002
I00000129,O0000088,D11,2,210.0,5,399.0,148,211.688
I00000130,O0000089,D13,1,120.0,0,120.0,34,74.768
I00000131,O0000090,D13,1,120.0,0,120.0,34,74.768
I00000132,O0000091,D07,1,190.0,0,190.0,62,108.848
I00000133,O0000092,D14,1,150.0,0,150.0,46,88.88
I00000134,O0000092,D10,1,230.0,0,230.0,84,122.816
I00000135,O0000093,D08,2,180.0,0,360.0,116,207.712
I00000136,O0000094,D16,1,110.0,0,110.0,28,70.912
I00000137,O0000095,D08,1,180.0,15,153.0,58,76.856
I00000138,O0000096,D08,2,180.0,10,324.0,116,171.712
I00000139,O0000096,D02,2,340.0,10,612.0,312,231.45600000000002
I00000140,O0000097,D16,1,110.0,0,110.0,28,70.912
I00000141,O0000098,D13,3,120.0,0,360.0,102,221.712
I00000142,O0000099,D16,2,110.0,0,220.0,56,141.824
I00000143,O0000100,D18,1,280.0,0,280.0,112,139.776
I00000144,O0000100,D04,1,320.0,0,320.0,148,139.744
I00000145,O0000100,D15,1,160.0,0,160.0,42,101.872
I00000146,O0000101,D12,2,360.0,0,720.0,330,317.424
I00000147,O0000101,D07,1,190.0,0,190.0,62,108.848
I00000148,O0000102,D18,1,280.0,5,266.0,112,125.776
I00000149,O0000102,D05,1,390.0,5,370.5,148,183.188
I00000150,O0000103,D02,2,340.0,0,680.0,312,299.456
I00000151,O0000104,D03,1,240.0,0,240.0,96,119.808
I00000152,O0000104,D12,1,360.0,0,360.0,165,158.712
I00000153,O0000104,D14,2,150.0,0,300.0,92,177.76
I00000154,O0000105,D10,1,230.0,0,230.0,84,122.816
I00000155,O0000105,D08,1,180.0,0,180.0,58,103.856
I00000156,O0000106,D08,2,180.0,5,342.0,116,189.712
I00000157,O0000106,D01,1,260.0,5,247.0,92,128.792
I00000158,O0000107,D15,3,160.0,0,480.0,126,305.616
I00000159,O0000108,D07,1,190.0,0,190.0,62,108.848
I00000160,O0000109,D03,2,240.0,0,480.0,192,239.616
I00000161,O0000110,D01,1,260.0,0,260.0,92,136.176
I00000162,O0000110,D05,1,390.0,0,390.0,148,194.264
I00000163,O0000111,D02,2,340.0,0,680.0,312,284.76800000000003
I00000164,O0000112,D16,1,110.0,0,110.0,28,68.536
I00000165,O0000113,D17,1,220.0,15,187.0,82,78.072
I00000166,O0000114,D06,1,460.0,0,460.0,186,217.696
I00000167,O0000115,D05,1,390.0,0,390.0,148,194.264
I00000168,O0000116,D17,1,220.0,0,220.0,82,111.072
I00000169,O0000116,D04,1,320.0,0,320.0,148,132.832
I00000170,O0000117,D05,2,390.0,0,780.0,296,388.528
I00000171,O0000117,D03,3,240.0,0,720.0,288,343.872
I00000172,O0000118,D06,1,460.0,0,460.0,186,217.696
I00000173,O0000118,D02,1,340.0,0,340.0,156,142.38400000000001
I00000174,O0000119,D07,2,190.0,0,380.0,124,209.488
I00000175,O0000120,D13,1,120.0,0,120.0,34,71.312
I00000176,O0000120,D12,2,360.0,0,720.0,330,301.872
I00000177,O0000121,D01,1,260.0,10,234.0,92,110.176
I00000178,O0000122,D17,1,220.0,0,220.0,82,111.072
I00000179,O0000122,D11,3,210.0,0,630.0,222,330.88800000000003
I00000180,O0000123,D02,1,340.0,0,340.0,156,142.38400000000001
I00000181,O0000124,D01,1,260.0,0,260.0,92,136.176
I00000182,O0000125,D01,1,260.0,0,260.0,92,136.176
I00000183,O0000126,D01,1,260.0,0,260.0,92,140.544
I00000184,O0000127,D06,1,460.0,10,414.0,186,179.424
I00000185,O0000128,D15,1,160.0,0,160.0,42,101.104
I00000186,O0000129,D03,2,240.0,0,480.0,192,237.312
I00000187,O0000130,D11,1,210.0,0,210.0,74,113.824
I00000188,O0000131,D05,2,390.0,0,780.0,296,401.632
I00000189,O0000132,D10,2,230.0,0,460.0,168,243.424
I00000190,O0000132,D08,1,180.0,0,180.0,58,102.992
I00000191,O0000132,D08,2,180.0,0,360.0,116,205.984
I00000192,O0000133,D13,2,120.0,0,240.0,68,146.656
I00000193,O0000134,D08,1,180.0,0,180.0,58,102.992
I00000194,O0000135,D04,1,320.0,0,320.0,148,138.208
I00000195,O0000136,D01,1,260.0,0,260.0,92,140.544
I00000196,O0000137,D18,2,280.0,0,560.0,224,276.864
I00000197,O0000137,D09,1,220.0,0,220.0,78,118.768
I00000198,O0000137,D15,1,160.0,0,160.0,42,101.104
I00000199,O0000138,D01,1,260.0,0,260.0,92,140.544
I00000200,O0000139,D05,1,390.0,20,312.0,148,122.816
I00000201,O0000139,D01,1,260.0,20,208.0,92,88.544
I00000202,O0000140,D14,1,150.0,10,135.0,46,73.16
I00000203,O0000141,D07,2,190.0,0,380.0,124,215.872
I00000204,O0000142,D11,1,210.0,0,210.0,74,113.824
I00000205,O0000143,D10,1,230.0,0,230.0,84,113.432
I00000206,O0000143,D16,2,110.0,0,220.0,56,132.848
I00000207,O0000143,D07,2,190.0,0,380.0,124,202.192
I00000208,O0000144,D06,1,460.0,0,460.0,186,208.864
I00000209,O0000145,D05,1,390.0,0,390.0,148,186.776
I00000210,O0000146,D17,1,220.0,0,220.0,82,106.848
I00000211,O0000147,D12,1,360.0,0,360.0,165,144.024
I00000212,O0000148,D17,2,220.0,0,440.0,164,213.696
I00000213,O0000149,D01,1,260.0,0,260.0,92,131.184
I00000214,O0000150,D10,1,230.0,0,230.0,84,113.432
I00000215,O0000151,D04,2,320.0,0,640.0,296,253.376
I00000216,O0000151,D18,2,280.0,0,560.0,224,256.704
I00000217,O0000152,D13,1,120.0,0,120.0,34,69.00800000000001
I00000218,O0000152,D09,1,220.0,0,220.0,78,110.848
I00000219,O0000153,D11,1,210.0,0,210.0,74,106.26400000000001
I00000220,O0000154,D01,2,260.0,0,520.0,184,262.368
I00000221,O0000155,D10,1,230.0,0,230.0,84,113.432
I00000222,O0000156,D10,2,230.0,0,460.0,168,226.864
I00000223,O0000156,D10,1,230.0,0,230.0,84,113.432
I00000224,O0000157,D04,1,320.0,10,288.0,148,92.0
I00000225,O0000158,D06,2,460.0,10,828.0,372,318.0
I00000226,O0000158,D02,1,340.0,10,306.0,156,99.0
I00000227,O0000159,D08,2,180.0,10,324.0,116,154.0
I00000228,O0000159,D10,2,230.0,10,414.0,168,177.0
I00000229,O0000160,D07,1,190.0,0,190.0,62,99.5
I00000230,O0000160,D15,2,160.0,0,320.0,84,188.0
I00000231,O0000161,D11,2,210.0,0,420.0,148,209.0
I00000232,O0000162,D12,2,360.0,0,720.0,330,282.0
I00000233,O0000162,D11,1,210.0,0,210.0,74,104.5
I00000234,O0000163,D01,1,260.0,10,234.0,92,103.0
I00000235,O0000164,D03,3,240.0,0,720.0,288,324.0
I00000236,O0000165,D17,1,220.0,0,220.0,82,105.0
I00000237,O0000166,D07,1,190.0,0,190.0,62,99.5
I00000238,O0000167,D07,1,190.0,0,190.0,62,99.5
I00000239,O0000167,D06,2,460.0,0,920.0,372,410.0
I00000240,O0000168,D04,1,320.0,0,320.0,148,124.0
I00000241,O0000168,D14,2,150.0,0,300.0,92,163.0
I00000242,O0000169,D12,2,360.0,0,720.0,330,282.0
I00000243,O0000170,D10,1,230.0,0,230.0,84,111.5
I00000244,O0000170,D01,1,260.0,0,260.0,92,129.0
I00000245,O0000170,D11,1,210.0,0,210.0,74,104.5
I00000246,O0000171,D14,1,150.0,0,150.0,46,81.5
I00000247,O0000172,D03,2,240.0,0,480.0,192,216.0
I00000248,O0000173,D08,1,180.0,10,162.0,58,77.0
I00000249,O0000174,D15,2,160.0,0,320.0,84,188.0
I00000250,O0000174,D01,1,260.0,0,260.0,92,129.0
I00000251,O0000174,D10,2,230.0,0,460.0,168,223.0
I00000252,O0000175,D03,1,240.0,0,240.0,96,108.0
I00000253,O0000176,D18,1,280.0,0,280.0,112,126.0
I00000254,O0000177,D08,3,180.0,0,540.0,174,285.0
I00000255,O0000178,D05,1,390.0,0,390.0,148,183.5
I00000256,O0000178,D14,1,150.0,0,150.0,46,81.5
I00000257,O0000178,D15,1,160.0,0,160.0,42,94.0
I00000258,O0000179,D17,2,220.0,0,440.0,164,210.0
I00000259,O0000179,D09,1,220.0,0,220.0,78,109.0
I00000260,O0000180,D03,1,240.0,0,240.0,96,108.0
I00000261,O0000180,D17,1,220.0,0,220.0,82,105.0
I00000262,O0000181,D11,2,210.0,0,420.0,148,209.0
I00000263,O0000181,D01,1,260.0,0,260.0,92,129.0
I00000264,O0000182,D01,1,260.0,0,260.0,92,129.0
I00000265,O0000182,D17,1,220.0,0,220.0,82,105.0
I00000266,O0000183,D05,1,390.0,10,351.0,148,151.51999999999998
I00000267,O0000184,D06,1,460.0,0,460.0,186,213.28
I00000268,O0000185,D06,2,460.0,0,920.0,372,426.56
I00000269,O0000185,D03,1,240.0,0,240.0,96,112.32
I00000270,O0000186,D18,1,280.0,0,280.0,112,131.04
I00000271,O0000186,D11,1,210.0,0,210.0,74,108.28
I00000272,O0000187,D17,1,220.0,0,220.0,82,108.96000000000001
I00000273,O0000188,D02,2,340.0,0,680.0,312,278.24
I00000274,O0000189,D01,3,260.0,0,780.0,276,401.03999999999996
I00000275,O0000189,D15,1,160.0,0,160.0,42,96.88
I00000276,O0000190,D03,1,240.0,0,240.0,96,112.32
I00000277,O0000191,D06,1,460.0,0,460.0,186,213.28
I00000278,O0000191,D16,2,110.0,0,220.0,56,134.96
I00000279,O0000191,D02,1,340.0,0,340.0,156,139.12
I00000280,O0000192,D13,2,120.0,0,240.0,68,140.32
I00000281,O0000193,D01,1,260.0,0,260.0,92,133.68
I00000282,O0000194,D03,1,240.0,5,228.0,96,100.32
I00000283,O0000194,D09,1,220.0,5,209.0,78,101.96000000000001
I00000284,O0000195,D11,1,210.0,15,178.5,74,76.78
I00000285,O0000196,D06,1,460.0,0,460.0,186,213.28
I00000286,O0000197,D17,2,220.0,0,440.0,164,217.92000000000002
I00000287,O0000198,D16,1,110.0,0,110.0,28,67.48
I00000288,O0000198,D04,1,320.0,0,320.0,148,129.76
I00000289,O0000199,D17,1,220.0,0,220.0,82,108.96000000000001
I00000290,O0000200,D07,1,190.0,0,190.0,62,102.92
I00000291,O0000201,D03,1,240.0,0,240.0,96,117.504
I00000292,O0000201,D01,1,260.0,0,260.0,92,139.296
I00000293,O0000202,D15,2,160.0,0,320.0,84,200.672
I00000294,O0000202,D14,1,150.0,0,150.0,46,87.44
I00000295,O0000202,D11,1,210.0,0,210.0,74,112.816
I00000296,O0000203,D04,2,320.0,0,640.0,296,273.344
I00000297,O0000204,D04,1,320.0,0,320.0,148,136.672
I00000298,O0000205,D02,2,340.0,0,680.0,312,292.928
I00000299,O0000206,D12,1,360.0,0,360.0,165,155.256
I00000300,O0000207,D04,1,320.0,0,320.0,148,136.672
I00000301,O0000208,D09,2,220.0,0,440.0,156,235.424
I00000302,O0000208,D03,1,240.0,0,240.0,96,117.504
I00000303,O0000209,D12,1,360.0,5,342.0,165,137.256
I00000304,O0000210,D03,2,240.0,0,480.0,192,235.008
I00000305,O0000211,D08,1,180.0,0,180.0,58,102.128
I00000306,O0000211,D11,1,210.0,0,210.0,74,112.816
I00000307,O0000212,D18,1,280.0,0,280.0,112,137.088
I00000308,O0000213,D03,1,240.0,0,240.0,96,117.504
I00000309,O0000214,D18,1,280.0,0,280.0,112,137.088
I00000310,O0000214,D18,2,280.0,0,560.0,224,274.176
I00000311,O0000215,D17,3,220.0,0,660.0,246,341.13599999999997
I00000312,O0000215,D14,2,150.0,0,300.0,92,174.88
I00000313,O0000216,D05,1,390.0,0,390.0,148,198.94400000000002
I00000314,O0000216,D08,1,180.0,0,180.0,58,102.128
I00000315,O0000217,D01,1,260.0,0,260.0,92,139.296
I00000316,O0000218,D07,3,190.0,10,513.0,186,264.072
I00000317,O0000219,D02,1,340.0,0,340.0,156,146.464
I00000318,O0000219,D01,2,260.0,0,520.0,184,278.592
I00000319,O0000219,D12,2,360.0,0,720.0,330,310.512
I00000320,O0000220,D09,1,220.0,0,220.0,78,117.712
I00000321,O0000221,D06,2,460.0,0,920.0,372,446.432
I00000322,O0000222,D15,1,160.0,0,160.0,42,100.336
I00000323,O0000223,D01,2,260.0,0,520.0,184,287.328
I00000324,O0000223,D04,1,320.0,0,320.0,148,142.048
I00000325,O0000224,D10,1,230.0,0,230.0,84,124.47200000000001
I00000326,O0000224,D02,1,340.0,0,340.0,156,152.176
I00000327,O0000224,D15,1,160.0,0,160.0,42,103.024
I00000328,O0000225,D12,1,360.0,0,360.0,165,161.304
I00000329,O0000226,D13,2,120.0,0,240.0,68,149.536
I00000330,O0000226,D12,1,360.0,0,360.0,165,161.304
I00000331,O0000226,D14,1,150.0,0,150.0,46,89.96
I00000332,O0000227,D12,1,360.0,0,360.0,165,161.304
I00000333,O0000228,D05,1,390.0,0,390.0,148,205.496
I00000334,O0000229,D17,1,220.0,5,209.0,82,106.408
I00000335,O0000229,D05,1,390.0,5,370.5,148,185.996
I00000336,O0000230,D04,1,320.0,0,320.0,148,142.048
I00000337,O0000231,D04,1,320.0,10,288.0,148,110.048
I00000338,O0000232,D01,1,260.0,0,260.0,92,143.664
I00000339,O0000233,D01,1,260.0,0,260.0,92,143.664
I00000340,O0000233,D01,2,260.0,0,520.0,184,287.328
I00000341,O0000233,D06,1,460.0,0,460.0,186,230.94400000000002
I00000342,O0000234,D09,1,220.0,0,220.0,78,121.408
I00000343,O0000235,D11,1,210.0,0,210.0,74,116.344
I00000344,O0000235,D12,1,360.0,0,360.0,165,161.304
I00000345,O0000235,D03,1,240.0,0,240.0,96,121.536
I00000346,O0000236,D05,2,390.0,0,780.0,296,410.992
I00000347,O0000236,D01,1,260.0,0,260.0,92,143.664
I00000348,O0000237,D10,1,230.0,15,195.5,84,89.97200000000001
I00000349,O0000238,D12,2,360.0,0,720.0,330,317.424
I00000350,O0000238,D04,1,320.0,0,320.0,148,139.744
I00000351,O0000239,D15,2,160.0,0,320.0,84,203.744
I00000352,O0000240,D01,1,260.0,5,247.0,92,128.792
I00000353,O0000241,D03,1,240.0,15,204.0,96,83.808
I00000354,O0000241,D11,1,210.0,15,178.5,74,83.332
I00000355,O0000242,D14,2,150.0,0,300.0,92,177.76
I00000356,O0000242,D15,1,160.0,0,160.0,42,101.872
I00000357,O0000243,D02,1,340.0,5,323.0,156,132.728
I00000358,O0000244,D03,1,240.0,0,240.0,96,119.808
I00000359,O0000245,D15,1,160.0,0,160.0,42,101.872
I00000360,O0000246,D13,1,120.0,0,120.0,34,73.904
I00000361,O0000246,D02,2,340.0,0,680.0,312,299.456
I00000362,O0000247,D09,1,220.0,0,220.0,78,119.824
I00000363,O0000248,D05,1,390.0,0,390.0,148,202.688
I00000364,O0000249,D05,1,390.0,0,390.0,148,202.688
I00000365,O0000250,D15,1,160.0,0,160.0,42,101.872
I00000366,O0000251,D08,1,180.0,0,180.0,58,103.856
I00000367,O0000251,D17,1,220.0,0,220.0,82,115.824
I00000368,O0000252,D15,2,160.0,0,320.0,84,203.744
I00000369,O0000252,D04,1,320.0,0,320.0,148,139.744
I00000370,O0000253,D17,2,220.0,0,440.0,164,231.648
I00000371,O0000254,D03,3,240.0,10,648.0,288,287.424
I00000372,O0000255,D15,2,160.0,5,304.0,84,180.832
I00000373,O0000256,D09,1,220.0,0,220.0,78,115.072
I00000374,O0000256,D01,1,260.0,0,260.0,92,136.176
I00000375,O0000257,D05,1,390.0,0,390.0,148,194.264
I00000376,O0000257,D18,1,280.0,0,280.0,112,133.728
I00000377,O0000258,D04,3,320.0,0,960.0,444,398.496
I00000378,O0000259,D01,1,260.0,5,247.0,92,123.176
I00000379,O0000260,D06,1,460.0,0,460.0,186,217.696
I00000380,O0000261,D15,2,160.0,0,320.0,84,196.832
I00000381,O0000262,D05,1,390.0,0,390.0,148,194.264
I00000382,O0000262,D12,1,360.0,0,360.0,165,150.936
I00000383,O0000263,D04,2,320.0,0,640.0,296,265.664
I00000384,O0000264,D16,1,110.0,0,110.0,28,68.536
I00000385,O0000265,D18,1,280.0,0,280.0,112,133.728
I00000386,O0000265,D18,1,280.0,0,280.0,112,133.728
I00000387,O0000265,D04,1,320.0,0,320.0,148,132.832
I00000388,O0000266,D10,1,230.0,15,195.5,84,83.348
I00000389,O0000267,D06,1,460.0,0,460.0,186,217.696
I00000390,O0000268,D06,1,460.0,0,460.0,186,217.696
I00000391,O0000269,D13,3,120.0,0,360.0,102,213.936
I00000392,O0000270,D06,1,460.0,0,460.0,186,225.424
I00000393,O0000271,D12,2,360.0,5,684.0,330,277.968
I00000394,O0000272,D18,1,280.0,0,280.0,112,138.432
I00000395,O0000273,D03,2,240.0,0,480.0,192,237.312
I00000396,O0000274,D09,1,220.0,0,220.0,78,118.768
I00000397,O0000275,D15,2,160.0,0,320.0,84,202.208
I00000398,O0000275,D18,1,280.0,0,280.0,112,138.432
I00000399,O0000276,D18,2,280.0,0,560.0,224,276.864
I00000400,O0000277,D17,2,220.0,0,440.0,164,229.536
I00000401,O0000278,D14,1,150.0,0,150.0,46,88.16
I00000402,O0000279,D15,2,160.0,0,320.0,84,202.208
I00000403,O0000279,D13,2,120.0,0,240.0,68,146.656
I00000404,O0000280,D13,2,120.0,0,240.0,68,146.656
I00000405,O0000280,D07,2,190.0,0,380.0,124,215.872
I00000406,O0000281,D17,2,220.0,0,440.0,164,229.536
I00000407,O0000282,D09,1,220.0,0,220.0,78,118.768
I00000408,O0000283,D01,1,260.0,10,234.0,92,114.544
I00000409,O0000284,D06,1,460.0,0,460.0,186,225.424
I00000410,O0000285,D12,1,360.0,0,360.0,165,156.984
I00000411,O0000286,D11,3,210.0,0,630.0,222,341.472
I00000412,O0000287,D07,2,190.0,0,380.0,124,215.872
I00000413,O0000288,D06,2,460.0,0,920.0,372,417.728
I00000414,O0000289,D01,1,260.0,0,260.0,92,131.184
I00000415,O0000290,D17,2,220.0,0,440.0,164,213.696
I00000416,O0000291,D02,1,340.0,0,340.0,156,135.856
I00000417,O0000291,D03,1,240.0,0,240.0,96,110.016
I00000418,O0000292,D05,1,390.0,0,390.0,148,186.776
I00000419,O0000293,D10,2,230.0,0,460.0,168,226.864
I00000420,O0000293,D10,1,230.0,0,230.0,84,113.432
I00000421,O0000293,D07,2,190.0,0,380.0,124,202.192
I00000422,O0000294,D07,1,190.0,0,190.0,62,101.096
I00000423,O0000295,D06,1,460.0,0,460.0,186,208.864
I00000424,O0000295,D06,2,460.0,0,920.0,372,417.728
I00000425,O0000296,D11,2,210.0,0,420.0,148,212.52800000000002
I00000426,O0000296,D08,1,180.0,0,180.0,58,96.512
I00000427,O0000297,D01,2,260.0,0,520.0,184,262.368
I00000428,O0000297,D14,2,150.0,0,300.0,92,165.52
I00000429,O0000297,D07,1,190.0,0,190.0,62,101.096
I00000430,O0000298,D04,1,320.0,0,320.0,148,126.688
I00000431,O0000298,D09,1,220.0,0,220.0,78,110.848
I00000432,O0000299,D03,1,240.0,0,240.0,96,110.016
I00000433,O0000299,D01,1,260.0,0,260.0,92,131.184
I00000434,O0000300,D01,2,260.0,0,520.0,184,262.368
I00000435,O0000300,D12,1,360.0,0,360.0,165,144.024
I00000436,O0000301,D17,1,220.0,10,198.0,82,84.848
I00000437,O0000301,D09,2,220.0,10,396.0,156,177.696
I00000438,O0000302,D15,1,160.0,5,152.0,42,87.344
I00000439,O0000303,D16,1,110.0,0,110.0,28,66.424
I00000440,O0000304,D16,1,110.0,0,110.0,28,66.424
I00000441,O0000305,D07,2,190.0,0,380.0,124,202.192
I00000442,O0000305,D08,2,180.0,0,360.0,116,193.024
I00000443,O0000306,D04,1,320.0,0,320.0,148,126.688
I00000444,O0000307,D08,1,180.0,0,180.0,58,96.512
I00000445,O0000308,D02,1,340.0,0,340.0,156,135.856
